SDSS_NAME,SDSS_ID,RA,DEC,Z,MagAve,Sigma
020239.92-030207.9,7838-56958-0450,30.666368,-3.0355342,1.344407,18.747959058823522,0.16792353961114614
020703.80+040727.0,8736-57400-0898,31.76584,4.1241802,2.163,20.77883731958763,0.5522098155195221
000512.11+001313.1,1090-52903-0417,1.3004939,0.22034308,1.2744,19.905886129166664,0.120671618318336
003913.87-005909.0,0392-51793-0006,9.8078004,-0.98582892,2.0835,18.582986908805033,0.32382409218771296
005743.29+221955.9,7620-56904-0806,14.430405,22.332206,2.064807,20.05371313197969,0.354969139271853
025505.93+001446.7,4242-55476-0735,43.774709,0.24633066,2.298,19.350047290322586,0.21525529491216927
023301.98-081020.8,4389-55539-0774,38.258253,-8.1724558,2.474,19.219363208333334,0.24585961984038587
015835.18+273922.3,7691-57040-0731,29.64662,27.656216,1.0041791,18.80869080368099,0.14183590038407595
004642.04+255609.9,7673-57329-0778,11.675183,25.936097,1.8153296,19.819268918699184,0.2907003952256174
012111.93+223507.9,7631-57279-0881,20.29972,22.585529,1.2815188,19.17420475132276,0.2590509070698359
022630.92-065943.6,4392-55833-0824,36.628852,-6.9954683,0.822,19.51232070168068,0.3113037483895861
015035.65+094554.8,4530-55564-0432,27.648567,9.7652271,2.18,19.896511286666673,0.3162542812912446
021939.07-083107.6,0668-52162-0507,34.912831,-8.5187877,1.681,19.423671071748867,0.19268509246158072
005420.31+345123.3,6874-56550-0881,13.584665,34.856475,2.351,0,0
021248.54-050624.4,7885-57336-0202,33.202288,-5.1067884,1.3665895,20.456877372881355,0.3595536883967312
012523.40+245054.0,7684-57286-0747,21.347503,24.848353,1.412945,19.592200533333337,0.3313794519102082
002454.89+265157.8,7662-57358-0912,6.2287263,26.866056,2.421,20.213406685950392,0.5126877507807178
000116.51-031050.2,7898-57363-0505,0.3188294,-3.180623,1.1008899,0,0
005030.54-020144.3,7871-56902-0310,12.627291,-2.0289734,1.2297643,19.742408008510637,0.26195297302664416
024737.50-000459.1,6782-56572-0019,41.906267,-0.083105002,1.844,19.344695455516018,0.2955186340178872
014617.75+192332.4,7627-56933-0810,26.573964,19.39235,1.01014,20.545022031250003,0.13963779501934062
005030.13+023915.0,4306-55584-0846,12.625579,2.6541925,2.112,19.973507792727276,0.38351224368182846
013348.53+030932.8,4276-55505-0842,23.452226,3.1591313,2.32,0,0
002456.21+173727.6,7590-56944-0281,6.2342423,17.62434,1.5678335,19.71779047967479,0.2508086390177651
020711.95+263242.2,7659-57060-0310,31.799861,26.545074,2.364341,20.546984728571427,0.2784547963722143
012939.74+215013.8,7635-56979-0778,22.415596,21.837184,0.8525149,19.813830628169033,0.27653476152325074
002457.10+230714.3,7591-56954-0862,6.2379222,23.120663,0.8129959,18.559768976811597,0.16299182566226766
010906.95+244202.7,7678-57282-0992,17.278975,24.700769,2.004652,19.83840075732217,0.288373260576473
004647.85+141429.3,6203-56266-0362,11.699393,14.24148,1.734,20.370134213114756,0.42037756414162886
022640.21+012934.4,7827-57278-0224,36.667582,1.4929041,2.474076,20.002737488038278,0.3014425515315121
002107.59+231753.0,7591-56954-0661,5.281642,23.298063,1.8743904,19.576156540441186,0.4207741206648705
000519.91+120544.8,5649-55912-0330,1.3329841,12.0958,2.204,19.440914217228464,0.32816095277575213
025520.16+012025.5,4257-55480-0292,43.834007,1.3404217,2.394,19.013653280864204,0.21797315739950307
012118.48+221418.9,7631-57279-0894,20.327005,22.238602,2.1883397,0,0
013759.45+264507.0,7686-57015-0206,24.497729,26.751962,2.2865744,0,0
003923.67-024709.0,7904-57358-0901,9.8486615,-2.785849,0.8235258,19.73572542148759,0.5662974843222524
003207.31+200457.7,7589-56946-0156,8.0304851,20.082721,1.2846996,20.512552200000002,0.20659888774904675
022644.03+003305.7,4237-55478-0974,36.683492,0.55160415,2.383,19.781860120331945,0.3235524166365173
012942.48+215551.4,7635-56979-0772,22.427021,21.930953,1.4665136,19.898729369565217,0
003926.11-021220.6,7869-57012-0378,9.8588267,-2.2057282,0.9365973,19.674044730994154,0.3579199238459367
