N,SDSS_NAME,RA,DEC,MagAve,Sigma
249,115325.93+251611.4,178.35808,25.269855,19.52701851020409,0.2493722559271525
250,012326.27+235503.9,20.859492,23.917771,18.92826093235292,0.2607538165124677
255,222311.34+185950.6,335.79727,18.997408,20.3000695,0.4545667153868838
256,001004.36+213218.3,2.518204,21.538431,20.148002274336285,0.370296468194096
261,125911.12+482519.7,194.79635,48.422167,19.469649776923077,0.2165447263835198
266,095252.85+405512.3,148.22021,40.920095,19.148979700680268,0.1771192317357045
268,091948.41+400519.7,139.95172,40.088815,19.15864733333333,0.180796431061159
272,133453.37+383647.9,203.7224,38.613328,19.6025768115942,0.2644534795064972
274,152613.80+084502.8,231.55751,8.750785,19.5700134479638,0.3122464210118693
279,111955.69+403623.6,169.98206,40.606583,18.88649273870968,0.1712626006692638
281,092335.47+312408.9,140.89781,31.402495,17.726721422988483,0.0632245819155353
283,100500.34+281252.4,151.25146,28.214578,19.11432340408163,0.2928565363449474
292,100543.79+165425.9,151.43247,16.907208,19.890188796791445,0.3276247598121832
293,220425.37+213206.3,331.10572,21.535093,0.0,0.0
294,005810.00+185622.5,14.541707,18.939598,19.2378356446281,0.3766289046204246
295,101638.73+473619.3,154.16139,47.60537,20.25457902336449,0.3527171261071762
298,153901.87+251804.8,234.75781,25.30134,19.175786814925363,0.3070464401195805
301,074018.29+461422.7,115.07623,46.239653,19.498680165517232,0.3716395068860686
302,104335.87+115129.1,160.89947,11.858111,16.15795404888887,0.0
303,095234.75+503257.3,148.14481,50.54935,19.46787697326203,0.2918442302099229
305,120329.85+480313.6,180.87438,48.05378,16.867239527624292,0.1585568068430421
306,230210.17-005732.4,345.54241,-0.959023,20.26952173983739,0.1583462932736399
307,101353.31+391619.0,153.47213,39.271965,19.16952473163842,0.3267432793159394
309,012744.95+265440.1,21.937306,26.911156,19.409790767584106,0.2224755068348411
322,005615.87-013042.6,14.066135,-1.511838,20.37767515151515,0.5040431822240389
328,102756.70+254146.8,156.98626,25.696336,18.712002685466388,0.2957751689424551
337,213451.82+000240.6,323.71593,0.044649,0.0,0.0
